,0
222,0.003996401469658073
223,0.0040324375945566815
224,0.004068634804715088
225,0.004104993088376918
226,0.004141512433733396
227,0.004178192828923288
228,0.004215034262033235
229,0.00425203672109753
230,0.0042892001940981195
231,0.00432652466896466
232,0.004364010133574625
233,0.004401656575752977
234,0.004439463983272662
235,0.004477432343854171
236,0.004515561645165755
237,0.004553851874823378
238,0.00459230302039082
239,0.00463091506937946
240,0.004669688009248607
241,0.004708621827405057
242,0.004747716511203592
243,0.004786972047946647
244,0.00482638842488442
245,0.004865965629214819
246,0.004905703648083626
247,0.004945602468584331
248,0.004985662077758191
249,0.005025882462594167
250,0.005066263610029209
251,0.005106805506947865
252,0.005147508140182555
253,0.005188371496513411
254,0.0052293955626685484
255,0.005270580325323682
256,0.005311925771102399
257,0.005353431886576165
258,0.005395098658264208
259,0.005436926072633574
260,0.005478914116099132
261,0.005521062775023566
262,0.00556337203571744
263,0.005605841884439189
264,0.005648472307394958
265,0.005691263290738824
266,0.005734214820572736
267,0.00577732688294641
268,0.005820599463857601
269,0.005864032549251719
270,0.0059076261250221584
271,0.005951380177010135
272,0.005995294691004849
273,0.006039369652743265
274,0.006083605047910223
275,0.006128000862138605
276,0.006172557081009111
277,0.006217273690050207
278,0.006262150674738509
279,0.0063071880204984
280,0.0063523857127021355
281,0.00639774373667007
282,0.006443262077670264
283,0.006488940720918879
284,0.006534779651580003
285,0.00658077885476549
286,0.006626938315535347
287,0.006673258018897454
288,0.006719737949807625
289,0.0067663780931696005
290,0.006813178433835165
291,0.006860138956604089
292,0.006907259646224018
293,0.006954540487390581
294,0.007001981464747509
295,0.007049582562886458
296,0.007097343766347075
297,0.007145265059616934
298,0.007193346427131708
299,0.007241587853275111
300,0.0072899893223787315
301,0.007338550818722311
302,0.007387272326533578
303,0.007436153829988246
304,0.007485195313210069
305,0.007534396760270956
306,0.00758375815519069
307,0.007633279481937261
308,0.007682960724426535
309,0.007732801866522698
310,0.007782802892037699
311,0.007832963784731806
312,0.007883284528313217
313,0.007933765106438284
314,0.007984405502711456
315,0.008035205700685166
316,0.008086165683860114
317,0.008137285435684927
318,0.008188564939556442
319,0.008240004178819649
320,0.008291603136767522
321,0.008343361796641358
322,0.008395280141630324
323,0.008447358154871965
324,0.00849959581945181
325,0.008551993118403656
326,0.008604550034709335
327,0.008657266551298892
328,0.008710142651050579
329,0.008763178316790743
330,0.008816373531293942
331,0.008869728277282884
332,0.008923242537428488
333,0.008976916294349935
334,0.00903074953061439
335,0.009084742228737508
336,0.009138894371182926
337,0.009193205940362603
338,0.00924767691863665
339,0.009302307288313438
340,0.009357097031649664
341,0.009412046130850116
342,0.009467154568067848
343,0.009522422325404234
344,0.009577849384908854
345,0.009633435728579554
346,0.00968918133836244
347,0.009745086196151942
348,0.009801150283790694
349,0.00985737358306965
350,0.009913756075728086
351,0.009970297743453482
352,0.010026998567881695
353,0.010083858530596845
354,0.010140877613131483
355,0.010198055796966254
356,0.01025539306353035
357,0.010312889394201163
358,0.010370544770304524
359,0.010428359173114521
360,0.010486332583853564
361,0.010544464983692492
362,0.010602756353750575
363,0.010661206675095292
364,0.010719815928742549
365,0.010778584095656685
366,0.010837511156750412
367,0.010896597092884763
368,0.010955841884869255
369,0.01101524551346178
370,0.01107480795936866
371,0.011134529203244592
372,0.011194409225692648
373,0.011254448007264495
374,0.011314645528460121
375,0.011375001769728
376,0.011435516711464977
377,0.011496190334016387
378,0.01155702261767616
379,0.011618013542686545
380,0.01167916308923822
381,0.011740471237470518
382,0.011801937967471143
383,0.011863563259276344
384,0.011925347092870797
385,0.011987289448187777
386,0.012049390305109042
387,0.012111649643464839
388,0.012174067443033953
389,0.012236643683543713
390,0.012299378344669987
391,0.01236227140603724
392,0.012425322847218367
393,0.012488532647734973
394,0.012551900787057091
395,0.012615427244603405
396,0.012679111999741144
397,0.012742955031786185
398,0.012806956320002949
399,0.012871115843604453
400,0.01293543358175231
401,0.012999909513556784
402,0.01306454361807674
403,0.013129335874319636
404,0.013194286261241694
405,0.013259394757747622
406,0.013324661342690891
407,0.013390085994873457
408,0.013455668693046152
409,0.013521409415908348
410,0.013587308142108123
411,0.013653364850242267
412,0.013719579518856162
413,0.013785952126443957
414,0.013852482651448561
